2018-06-08 14:59:03,749 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@174d20a: startup date [Fri Jun 08 14:59:03 CST 2018]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2018-06-08 14:59:57,357 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:DESKTOP-AIP0B5D-62752-1528441197240-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2018-06-08 14:59:57,368 | INFO  | Listening for connections at: tcp://DESKTOP-AIP0B5D:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-06-08 14:59:57,368 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2018-06-08 14:59:57,373 | INFO  | Listening for connections at: amqp://DESKTOP-AIP0B5D:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-06-08 14:59:57,374 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2018-06-08 14:59:57,377 | INFO  | Listening for connections at: stomp://DESKTOP-AIP0B5D:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-06-08 14:59:57,378 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2018-06-08 14:59:57,382 | INFO  | Listening for connections at: mqtt://DESKTOP-AIP0B5D:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-06-08 14:59:57,383 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2018-06-08 14:59:57,460 | INFO  | Listening for connections at ws://DESKTOP-AIP0B5D:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2018-06-08 14:59:57,461 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2018-06-08 14:59:57,462 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:DESKTOP-AIP0B5D-62752-1528441197240-0:1) started | org.apache.activemq.broker.BrokerService | main
2018-06-08 14:59:57,462 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2018-06-08 14:59:57,758 | INFO  | ActiveMQ WebConsole available at http://localhost:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2018-06-08 14:59:57,804 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2018-06-08 14:59:57,982 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2018-06-11 08:57:40,829 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7921b0a2: startup date [Mon Jun 11 08:57:40 CST 2018]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2018-06-11 08:57:51,176 | INFO  | PListStore:[D:\software\apache-activemq-5.9.1\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2018-06-11 08:57:51,258 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\software\apache-activemq-5.9.1\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2018-06-11 08:57:52,019 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
2018-06-11 08:57:52,061 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2018-06-11 08:57:52,308 | INFO  | Recovery replayed 5520 operations from the journal in 0.286 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2018-06-11 08:57:52,579 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:DESKTOP-AIP0B5D-50075-1528678672362-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2018-06-11 08:57:52,609 | INFO  | Listening for connections at: tcp://DESKTOP-AIP0B5D:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-06-11 08:57:52,609 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2018-06-11 08:57:52,613 | INFO  | Listening for connections at: amqp://DESKTOP-AIP0B5D:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-06-11 08:57:52,613 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2018-06-11 08:57:52,617 | INFO  | Listening for connections at: stomp://DESKTOP-AIP0B5D:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-06-11 08:57:52,617 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2018-06-11 08:57:52,620 | INFO  | Listening for connections at: mqtt://DESKTOP-AIP0B5D:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-06-11 08:57:52,621 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2018-06-11 08:57:52,952 | INFO  | Listening for connections at ws://DESKTOP-AIP0B5D:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2018-06-11 08:57:52,953 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2018-06-11 08:57:52,978 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:DESKTOP-AIP0B5D-50075-1528678672362-0:1) started | org.apache.activemq.broker.BrokerService | main
2018-06-11 08:57:52,979 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2018-06-11 08:57:54,280 | INFO  | ActiveMQ WebConsole available at http://localhost:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2018-06-11 08:57:54,673 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2018-06-11 08:57:56,900 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2018-06-15 08:45:51,925 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7921b0a2: startup date [Fri Jun 15 08:45:51 CST 2018]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2018-06-15 08:45:55,719 | INFO  | PListStore:[D:\software\apache-activemq-5.9.1\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2018-06-15 08:45:55,748 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\software\apache-activemq-5.9.1\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2018-06-15 08:45:56,670 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
2018-06-15 08:45:57,265 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2018-06-15 08:45:57,593 | INFO  | Recovery replayed 9327 operations from the journal in 0.92 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2018-06-15 08:45:58,039 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:DESKTOP-AIP0B5D-50239-1529023557681-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2018-06-15 08:45:58,154 | INFO  | Listening for connections at: tcp://DESKTOP-AIP0B5D:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-06-15 08:45:58,154 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2018-06-15 08:45:58,159 | INFO  | Listening for connections at: amqp://DESKTOP-AIP0B5D:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-06-15 08:45:58,159 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2018-06-15 08:45:58,165 | INFO  | Listening for connections at: stomp://DESKTOP-AIP0B5D:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-06-15 08:45:58,165 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2018-06-15 08:45:58,169 | INFO  | Listening for connections at: mqtt://DESKTOP-AIP0B5D:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-06-15 08:45:58,170 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2018-06-15 08:45:58,618 | INFO  | Listening for connections at ws://DESKTOP-AIP0B5D:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2018-06-15 08:45:58,618 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2018-06-15 08:45:58,629 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:DESKTOP-AIP0B5D-50239-1529023557681-0:1) started | org.apache.activemq.broker.BrokerService | main
2018-06-15 08:45:58,629 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2018-06-15 08:45:59,654 | INFO  | ActiveMQ WebConsole available at http://localhost:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2018-06-15 08:45:59,949 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2018-06-15 08:46:01,953 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2018-06-21 08:46:38,205 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7921b0a2: startup date [Thu Jun 21 08:46:38 CST 2018]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2018-06-21 08:46:44,569 | INFO  | PListStore:[D:\software\apache-activemq-5.9.1\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2018-06-21 08:46:44,601 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\software\apache-activemq-5.9.1\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2018-06-21 08:46:45,653 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
2018-06-21 08:46:46,141 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2018-06-21 08:46:46,802 | INFO  | Recovery replayed 20421 operations from the journal in 1.146 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2018-06-21 08:46:47,038 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:DESKTOP-AIP0B5D-50033-1529542006837-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2018-06-21 08:46:47,201 | INFO  | Listening for connections at: tcp://DESKTOP-AIP0B5D:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-06-21 08:46:47,202 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2018-06-21 08:46:47,206 | INFO  | Listening for connections at: amqp://DESKTOP-AIP0B5D:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-06-21 08:46:47,206 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2018-06-21 08:46:47,209 | INFO  | Listening for connections at: stomp://DESKTOP-AIP0B5D:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-06-21 08:46:47,210 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2018-06-21 08:46:47,213 | INFO  | Listening for connections at: mqtt://DESKTOP-AIP0B5D:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-06-21 08:46:47,213 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2018-06-21 08:46:47,817 | INFO  | Listening for connections at ws://DESKTOP-AIP0B5D:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2018-06-21 08:46:47,817 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2018-06-21 08:46:47,829 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:DESKTOP-AIP0B5D-50033-1529542006837-0:1) started | org.apache.activemq.broker.BrokerService | main
2018-06-21 08:46:47,830 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2018-06-21 08:46:49,116 | INFO  | ActiveMQ WebConsole available at http://localhost:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2018-06-21 08:46:49,298 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2018-06-21 08:46:50,287 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2018-06-25 10:47:53,385 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7921b0a2: startup date [Mon Jun 25 10:47:53 CST 2018]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2018-06-25 10:47:54,365 | INFO  | PListStore:[D:\software\apache-activemq-5.9.1\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2018-06-25 10:47:54,381 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\software\apache-activemq-5.9.1\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2018-06-25 10:47:55,221 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
2018-06-25 10:47:55,308 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2018-06-25 10:47:57,137 | INFO  | Recovery replayed 27113 operations from the journal in 1.913 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2018-06-25 10:47:57,331 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:DESKTOP-AIP0B5D-52596-1529894877182-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2018-06-25 10:47:57,352 | INFO  | Listening for connections at: tcp://DESKTOP-AIP0B5D:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-06-25 10:47:57,352 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2018-06-25 10:47:57,356 | INFO  | Listening for connections at: amqp://DESKTOP-AIP0B5D:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-06-25 10:47:57,356 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2018-06-25 10:47:57,359 | INFO  | Listening for connections at: stomp://DESKTOP-AIP0B5D:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-06-25 10:47:57,360 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2018-06-25 10:47:57,363 | INFO  | Listening for connections at: mqtt://DESKTOP-AIP0B5D:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-06-25 10:47:57,363 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2018-06-25 10:47:57,523 | INFO  | Listening for connections at ws://DESKTOP-AIP0B5D:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2018-06-25 10:47:57,524 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2018-06-25 10:47:57,524 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:DESKTOP-AIP0B5D-52596-1529894877182-0:1) started | org.apache.activemq.broker.BrokerService | main
2018-06-25 10:47:57,525 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2018-06-25 10:47:57,984 | INFO  | ActiveMQ WebConsole available at http://localhost:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2018-06-25 10:47:58,075 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2018-06-25 10:47:58,263 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2018-06-26 09:07:09,940 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7921b0a2: startup date [Tue Jun 26 09:07:09 CST 2018]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2018-06-26 09:07:11,372 | INFO  | PListStore:[D:\software\apache-activemq-5.9.1\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2018-06-26 09:07:11,407 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\software\apache-activemq-5.9.1\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2018-06-26 09:07:11,959 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
2018-06-26 09:07:12,002 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2018-06-26 09:07:13,354 | INFO  | Recovery replayed 33918 operations from the journal in 1.393 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2018-06-26 09:07:13,592 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:DESKTOP-AIP0B5D-51520-1529975233436-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2018-06-26 09:07:13,624 | INFO  | Listening for connections at: tcp://DESKTOP-AIP0B5D:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-06-26 09:07:13,624 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2018-06-26 09:07:13,629 | INFO  | Listening for connections at: amqp://DESKTOP-AIP0B5D:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-06-26 09:07:13,630 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2018-06-26 09:07:13,635 | INFO  | Listening for connections at: stomp://DESKTOP-AIP0B5D:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-06-26 09:07:13,636 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2018-06-26 09:07:13,643 | INFO  | Listening for connections at: mqtt://DESKTOP-AIP0B5D:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-06-26 09:07:13,644 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2018-06-26 09:07:13,812 | INFO  | Listening for connections at ws://DESKTOP-AIP0B5D:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2018-06-26 09:07:13,812 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2018-06-26 09:07:13,813 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:DESKTOP-AIP0B5D-51520-1529975233436-0:1) started | org.apache.activemq.broker.BrokerService | main
2018-06-26 09:07:13,813 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2018-06-26 09:07:14,368 | INFO  | ActiveMQ WebConsole available at http://localhost:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2018-06-26 09:07:14,456 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2018-06-26 09:07:14,822 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2018-07-02 09:02:26,385 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7921b0a2: startup date [Mon Jul 02 09:02:26 CST 2018]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2018-07-02 09:02:31,012 | INFO  | PListStore:[D:\software\apache-activemq-5.9.1\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2018-07-02 09:02:31,028 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\software\apache-activemq-5.9.1\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2018-07-02 09:02:31,820 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
2018-07-02 09:02:31,871 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2018-07-02 09:02:33,517 | INFO  | Recovery replayed 34636 operations from the journal in 1.694 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2018-07-02 09:02:33,689 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:DESKTOP-AIP0B5D-51787-1530493353549-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2018-07-02 09:02:33,723 | INFO  | Listening for connections at: tcp://DESKTOP-AIP0B5D:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-07-02 09:02:33,723 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2018-07-02 09:02:33,731 | INFO  | Listening for connections at: amqp://DESKTOP-AIP0B5D:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-07-02 09:02:33,731 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2018-07-02 09:02:33,740 | INFO  | Listening for connections at: stomp://DESKTOP-AIP0B5D:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-07-02 09:02:33,740 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2018-07-02 09:02:33,747 | INFO  | Listening for connections at: mqtt://DESKTOP-AIP0B5D:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-07-02 09:02:33,750 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2018-07-02 09:02:33,971 | INFO  | Listening for connections at ws://DESKTOP-AIP0B5D:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2018-07-02 09:02:33,972 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2018-07-02 09:02:33,973 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:DESKTOP-AIP0B5D-51787-1530493353549-0:1) started | org.apache.activemq.broker.BrokerService | main
2018-07-02 09:02:33,973 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2018-07-02 09:02:34,610 | INFO  | ActiveMQ WebConsole available at http://localhost:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2018-07-02 09:02:34,775 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2018-07-02 09:02:35,203 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2018-07-07 09:33:39,254 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7921b0a2: startup date [Sat Jul 07 09:33:39 CST 2018]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2018-07-07 09:33:40,388 | INFO  | PListStore:[D:\software\apache-activemq-5.9.1\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
